solver,n_requested,n_used,seed,status,run_dir,combined_solver,combined_runtime_sec,speed_mps,y_max_meters,future_only,delta,C,k,stopping_condition,fill_policy,device,origin_lon,origin_lat,runtime_sec,phases,total_inner_loops,matching_cost_m,matching_cost_km,avg_cost_m,avg_cost_km,feasible_matches,free_B,removed_by_future,removed_by_speed,removed_by_ymax,build_time_sec,solve_time_sec,num_feasible_edges,opt_cost_m,opt_cost_km,opt_avg_cost_m,opt_avg_cost_km
spef_unscaled,10000,10000,1,success,results/2014-10-14/combined_n10000_seed1,combined,148.33995916624554,8.0,10000.0,True,0.0001,100000.0,512,500,none,cuda,-73.98042297363281,40.75510787963867,95.01895588403568,1,20662,4117152.8277721554,4117.152827772155,440.8086539370616,0.4408086539370616,9340.0,660.0,550.0,0.0,229.0,,,,,,,
spef_scaled,10000,10000,1,success,results/2014-10-14/combined_n10000_seed1,combined,148.33995916624554,8.0,10000.0,True,0.0001,100000.0,512,500,none,cuda,-73.98042297363281,40.75510787963867,7.901189797092229,5,3770,4114828.1634888058,4114.828163488805,441.4578010394599,0.44145780103945986,9321.0,679.0,549.0,0.0,250.0,,,,,,,
pot_emd,10000,10000,1,success,results/2014-10-14/combined_n10000_seed1,combined,148.33995916624554,8.0,10000.0,True,0.0001,100000.0,512,500,none,cuda,-73.98042297363281,40.75510787963867,45.41981348511763,,,,,,,,,,,,4.646396602969617,40.77341688214801,43903375,10055519.278753703,10055.519278753703,1005.5519278753703,1.0055519278753704
spef_unscaled,10000,10000,2,success,results/2014-10-14/combined_n10000_seed2,combined,144.14671769086272,8.0,10000.0,True,0.0001,100000.0,512,500,none,cuda,-73.98023986816406,40.75504684448242,91.87761844787747,1,19223,4176092.443910128,4176.092443910128,448.4635356432698,0.4484635356432698,9312.0,688.0,564.0,0.0,248.0,,,,,,,
spef_scaled,10000,10000,2,success,results/2014-10-14/combined_n10000_seed2,combined,144.14671769086272,8.0,10000.0,True,0.0001,100000.0,512,500,none,cuda,-73.98023986816406,40.75504684448242,7.771444001002237,5,3684,4236045.634246586,4236.045634246586,455.7337960458941,0.45573379604589415,9295.0,705.0,564.0,0.0,267.0,,,,,,,
pot_emd,10000,10000,2,success,results/2014-10-14/combined_n10000_seed2,combined,144.14671769086272,8.0,10000.0,True,0.0001,100000.0,512,500,none,cuda,-73.98023986816406,40.75504684448242,44.49765524198301,,,,,,,,,,,,4.665146535029635,39.83250870695338,43781483,10605838.455924885,10605.838455924886,1060.5838455924886,1.0605838455924885
spef_unscaled,10000,10000,3,success,results/2014-10-14/combined_n10000_seed3,combined,164.04273383598775,8.0,10000.0,True,0.0001,100000.0,512,500,none,cuda,-73.98016357421875,40.755088806152344,110.23182040289976,1,24339,4055084.1576661565,4055.0841576661564,432.95794978284823,0.43295794978284824,9366.0,634.0,560.0,0.0,211.0,,,,,,,
spef_scaled,10000,10000,3,success,results/2014-10-14/combined_n10000_seed3,combined,164.04273383598775,8.0,10000.0,True,0.0001,100000.0,512,500,none,cuda,-73.98016357421875,40.755088806152344,8.896940293954685,5,4234,4118097.704130443,4118.097704130443,440.67391162444545,0.44067391162444547,9345.0,655.0,560.0,0.0,249.0,,,,,,,
pot_emd,10000,10000,3,success,results/2014-10-14/combined_n10000_seed3,combined,164.04273383598775,8.0,10000.0,True,0.0001,100000.0,512,500,none,cuda,-73.98016357421875,40.755088806152344,44.913973139133304,,,,,,,,,,,,4.674489569151774,40.23948356998153,44022656,9442662.2557477,9442.6622557477,944.26622557477,0.94426622557477
spef_unscaled,15000,15000,1,success,results/2014-10-14/combined_n15000_seed1,combined,271.1449932665564,8.0,10000.0,True,0.0001,100000.0,512,750,none,cuda,-73.98048400878906,40.75516128540039,134.56263529486023,1,19316,5824107.925671671,5824.10792567167,415.5624634799622,0.41556246347996223,14015.0,985.0,816.0,0.0,360.0,,,,,,,
spef_scaled,15000,15000,1,success,results/2014-10-14/combined_n15000_seed1,combined,271.1449932665564,8.0,10000.0,True,0.0001,100000.0,512,750,none,cuda,-73.98048400878906,40.75516128540039,11.589143517892808,5,4688,5842828.729192964,5842.828729192964,417.76267189996884,0.4177626718999688,13986.0,1014.0,816.0,0.0,403.0,,,,,,,
